"Customer - Parent  Account","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"PETER SANDFORT LLC","96,859.00","73,579.44","23,279.56","24.03%","4.00","24,209.53","81"
"CENTRAL VA FLOORING","80,358.04","62,232.51","18,125.53","22.56%","2.86","28,116.88","116"
"CARPETLAND USA-RKE SOUTH","45,603.79","36,413.49","9,190.30","20.15%","3.04","14,992.18","115"
"S.J. NEATHAWK LBR CO INC","42,513.30","34,849.62","7,663.68","18.03%","3.47","12,241.58","31"
"CARPETLAND USA OF ROANOKE","29,824.40","24,272.54","5,551.86","18.62%","2.56","11,646.86","69"
"SPENCER HOME CENTER INC","21,794.61","17,840.88","3,953.73","18.14%","3.04","7,172.68","25"
"ELP PROP","20,696.45","16,801.72","3,894.73","18.82%","2.54","8,143.31","30"
"BLUE RIDGE FLOORS INC","17,592.64","13,008.55","4,584.09","26.06%","3.60","4,892.84","39"
"FLOORED LLC","14,311.21","11,188.24","3,122.97","21.82%","2.91","4,918.84","32"
"THE FLOOR SHOW INC","13,261.39","10,281.16","2,980.23","22.47%","3.53","3,755.38","30"
"CARPET VILLAGE","12,407.20","9,837.21","2,569.99","20.71%","1.96","6,324.00","36"
"FASHION FLRS OF ROANOKE","5,882.27","4,599.48","1,282.79","21.81%","3.05","1,929.53","19"
"CAVALIER CARPETS INC","522.00","432.00","90.00","17.24%","1.74","300.00","2"
