"Customer - Parent  Account","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"PETER SANDFORT LLC","96,859.00","73,579.44","23,279.56","24.03%","4.00","24,209.53","81"
"WOOD PLUS HARDWOOD FLRG","81,750.23","64,796.59","16,953.64","20.74%","3.72","21,974.35","70"
"CENTRAL VA FLOORING","80,358.04","62,232.51","18,125.53","22.56%","2.86","28,116.88","116"
"CARPETLAND USA-RKE SOUTH","45,603.79","36,413.49","9,190.30","20.15%","3.04","14,992.18","115"
"CARPETLAND USA OF ROANOKE","29,824.40","24,272.54","5,551.86","18.62%","2.56","11,646.86","69"
"SPENCER HOME CENTER INC","21,794.61","17,840.88","3,953.73","18.14%","3.04","7,172.68","25"
"ELP PROP","20,696.45","16,801.72","3,894.73","18.82%","2.54","8,143.31","30"
"BLUE RIDGE FLOORS INC","17,592.64","13,008.55","4,584.09","26.06%","3.60","4,892.84","39"
"FLOORED LLC","14,311.21","11,188.24","3,122.97","21.82%","2.91","4,918.84","32"
"J W SQUIRE CO","14,255.79","11,154.85","3,100.94","21.75%","2.90","4,921.38","33"
"FLOOR FASHIONS","10,774.50","8,462.22","2,312.28","21.46%","3.80","2,832.87","14"
"MILLS FLOOR COVERING LLC","9,621.52","7,782.12","1,839.40","19.12%","2.27","4,245.48","8"
"CARPETLAND USA OF","6,652.43","5,501.41","1,151.02","17.30%","1.99","3,349.83","13"
"BY DESIGN INTERIORS LLC","3,360.54","2,581.25","779.29","23.19%","3.45","973.69","8"
"CARPET PLUS","2,449.02","1,906.15","542.87","22.17%","3.97","616.88","4"
