"Customer - Parent  Account","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"CARPETLAND USA-RKE SOUTH","45,603.79","36,413.49","9,190.30","20.15%","3.04","14,992.18","115"
"S.J. NEATHAWK LBR CO INC","42,513.30","34,849.62","7,663.68","18.03%","3.47","12,241.58","31"
"CARPETLAND USA OF ROANOKE","29,824.40","24,272.54","5,551.86","18.62%","2.56","11,646.86","69"
"FAYETTE AWNING & GLASS","25,974.87","21,067.94","4,906.93","18.89%","2.66","9,780.51","32"
"ELP PROP","20,696.45","16,801.72","3,894.73","18.82%","2.54","8,143.31","30"
"BLUE RIDGE FLOORS INC","17,592.64","13,008.55","4,584.09","26.06%","3.60","4,892.84","39"
"FLOORED LLC","14,311.21","11,188.24","3,122.97","21.82%","2.91","4,918.84","32"
"THE FLOOR SHOW INC","13,261.39","10,281.16","2,980.23","22.47%","3.53","3,755.38","30"
"CARPET VILLAGE","12,407.20","9,837.21","2,569.99","20.71%","1.96","6,324.00","36"
"FLOOR FASHIONS","10,774.50","8,462.22","2,312.28","21.46%","3.80","2,832.87","14"
"CARPETLAND USA OF","6,652.43","5,501.41","1,151.02","17.30%","1.99","3,349.83","13"
"FASHION FLRS OF ROANOKE","5,882.27","4,599.48","1,282.79","21.81%","3.05","1,929.53","19"
"WHITT CPT & TILE","3,203.26","2,511.00","692.26","21.61%","4.35","735.76","11"
"NEWCOMB CARPET INC","1,974.48","1,378.08","596.40","30.21%","2.55","774.00","2"
