"Customer - Parent  Account","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"WOOD PLUS HARDWOOD FLRG","81,750.23","64,796.59","16,953.64","20.74%","3.72","21,974.35","70"
"CARPETLAND USA-RKE SOUTH","45,603.79","36,413.49","9,190.30","20.15%","3.04","14,992.18","115"
"FARMVILLE FLOORING LLC","33,519.54","27,536.77","5,982.77","17.85%","2.85","11,741.10","39"
"CARPETLAND USA OF ROANOKE","29,824.40","24,272.54","5,551.86","18.62%","2.56","11,646.86","69"
"SPENCER HOME CENTER INC","21,794.61","17,840.88","3,953.73","18.14%","3.04","7,172.68","25"
"ELP PROP","20,696.45","16,801.72","3,894.73","18.82%","2.54","8,143.31","30"
"FLOORED LLC","14,311.21","11,188.24","3,122.97","21.82%","2.91","4,918.84","32"
"J W SQUIRE CO","14,255.79","11,154.85","3,100.94","21.75%","2.90","4,921.38","33"
"B & H FLOORS LLC","7,263.13","5,497.36","1,765.77","24.31%","3.05","2,384.60","22"
"CARPETLAND USA OF","6,652.43","5,501.41","1,151.02","17.30%","1.99","3,349.83","13"
"B & B MACHINE TOOL INC","3,367.68","2,632.97","734.71","21.82%","3.87","869.57","9"
"BY DESIGN INTERIORS LLC","3,360.54","2,581.25","779.29","23.19%","3.45","973.69","8"
