Customer - Parent  Account  Number,Customer - Parent  Account,Address1,Address2,Address3,Address4,Town,State,Postcode,Country,Value,Cost,Profit,GP,Average Price,Quantity,Count
SAND122CHA~00000,PETER SANDFORT LLC,T/A SARISAND TILE,685 RIO ROAD,,,CHARLOTTESVILLE,VA,22901-0000,USA,"96,859.00","73,579.44","23,279.56",24.03%,4,"24,209.53",81
WOOD111GAL~00000,WOOD PLUS HARDWOOD FLRG,WOOD PLUS HARDWOOD FLRG,111 DEPOT AVENUE,,,GALAX,VA,24333-0000,USA,"81,750.23","64,796.59","16,953.64",20.74%,3.72,"21,974.35",70
CENT560LYN~00000,CENTRAL VA FLOORING,CENTRAL VA FLOORING,7621 TIMBERLAKE ROAD,,,LYNCHBURG,VA,24502-0000,USA,"80,358.04","62,232.51","18,125.53",22.56%,2.86,"28,116.88",116
WHIT125ROA~00000,"THE WHITT GROUP, INC",T/A PROSOURCE OF ROANOKE,1250-B TRAPPER CIRCLE NW,,,ROANOKE,VA,24012-0000,USA,"48,855.31","39,212.79","9,642.52",19.74%,3.67,"13,318.12",47
CARP411ROA~00000,CARPETLAND USA-RKE SOUTH,PODELL INC,4118 ELECTRIC ROAD,,,ROANOKE,VA,24018-0000,USA,"45,603.79","36,413.49","9,190.30",20.15%,3.04,"14,992.18",115
NEAT427LEW~00000,S.J. NEATHAWK LBR CO INC,S.J. NEATHAWK LBR CO INC,3235 JEFFERSON STREET N,,,LEWISBURG,WV,24901-0000,USA,"42,513.30","34,849.62","7,663.68",18.03%,3.47,"12,241.58",31
FARM167FAR~00000,FARMVILLE FLOORING LLC,FARMVILLE FLOORING LLC,2202 B WEST 3RD STREET,,,FARMVILLE,VA,23901-0000,USA,"33,519.54","27,536.77","5,982.77",17.85%,2.85,"11,741.10",39
CARP785ROA~00000,CARPETLAND USA OF ROANOKE,CARPETLAND USA OF ROANOKE,7851 PLANTATION ROAD,,,ROANOKE,VA,24019-0000,USA,"29,824.40","24,272.54","5,551.86",18.62%,2.56,"11,646.86",69
FAYE155OAK~00000,FAYETTE AWNING & GLASS,FAYETTE AWNING & GLASS,1555 MAIN STREET E,,,OAK HILL,WV,25901-0000,USA,"25,974.87","21,067.94","4,906.93",18.89%,2.66,"9,780.51",32
SPEN130LEX~00000,SPENCER HOME CENTER INC,SPENCER HOME CENTER INC,1398 NORTH LEE HIGHWAY,,,LEXINGTON,VA,24450-0000,USA,"21,794.61","17,840.88","3,953.73",18.14%,3.04,"7,172.68",25
ELPC242CHR~00000,ELP PROP,T/A CPT LAND USA CHRSTNBG,2425 SYCAMORE STREET,,,CHRISTIANSBURG,VA,24073-0000,USA,"20,696.45","16,801.72","3,894.73",18.82%,2.54,"8,143.31",30
CARD525WYL~00000,KITUWAH MANUFACTURING LLC,T/A CARDINAL HOMES,525 BARNESVILLE HWY,,,WYLLIESBURG,VA,23976-0000,USA,"20,565.73","15,644.69","4,921.04",23.93%,2.1,"9,795.02",25
HALLRT2EVI~00000,BLUE RIDGE FLOORS INC,BLUE RIDGE FLOORS INC,301 ENTERPRISE DRIVE,,,FOREST,VA,24551-0000,USA,"17,592.64","13,008.55","4,584.09",26.06%,3.6,"4,892.84",39
FLOO385CHR~00000,FLOORED LLC,FLOORED LLC,385 RADFORD STREET,,,CHRISTIANSBURG,VA,24073-0000,USA,"14,311.21","11,188.24","3,122.97",21.82%,2.91,"4,918.84",32
SQUI425DAN~00000,J W SQUIRE CO,J W SQUIRE CO,874 CAHILL COURT,,,DANVILLE,VA,24541-0000,USA,"14,255.79","11,154.85","3,100.94",21.75%,2.9,"4,921.38",33
