"Customer - Parent  Account  Number","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"SAND122CHA~00000","BJELIN","66,837.13","49,346.10","17,491.03","26.17%","4.55","14,690.07","43"
"CENT560LYN~00000","MANN. ADURA LUXURY TILE","47,468.55","38,691.65","8,776.90","18.49%","3.10","15,319.70","81"
"WOOD111GAL~00000","LAUZON WOOD","40,100.55","33,252.51","6,848.04","17.08%","5.88","6,817.50","10"
"FARM167FAR~00000","MANN. ADURA LUXURY TILE","32,769.59","27,068.46","5,701.13","17.40%","2.88","11,393.60","35"
"CARP411ROA~00000","MANN. ADURA LUXURY TILE","31,909.51","25,463.52","6,445.99","20.20%","3.16","10,092.38","83"
"SAND122CHA~00000","MANN. ADURA LUXURY TILE","26,158.21","21,300.90","4,857.31","18.57%","3.16","8,285.08","30"
"FAYE155OAK~00000","MANN. ADURA LUXURY TILE","24,877.60","20,222.04","4,655.56","18.71%","2.63","9,455.51","28"
"CARP785ROA~00000","MANN. ADURA LUXURY TILE","22,951.68","18,767.06","4,184.62","18.23%","2.96","7,763.06","54"
"WHIT125ROA~00000","MANN. ADURA LUXURY TILE","22,826.89","18,543.35","4,283.54","18.77%","3.01","7,579.95","24"
"NEAT427LEW~00000","SOMERSET WOOD","22,722.05","18,695.25","4,026.80","17.72%","5.35","4,245.00","9"
"SPEN130LEX~00000","MANN. ADURA LUXURY TILE","21,572.06","17,714.02","3,858.04","17.88%","3.01","7,167.68","23"
"CARD525WYL~00000","RESPONSIVE INDUSTRIES","19,857.16","14,922.08","4,935.08","24.85%","2.09","9,501.04","18"
"NEAT427LEW~00000","MANN. ADURA LUXURY TILE","18,958.97","15,555.35","3,403.62","17.95%","2.49","7,627.58","17"
"WOOD111GAL~00000","RESPONSIVE INDUSTRIES","18,154.19","12,984.30","5,169.89","28.48%","2.17","8,382.12","20"
"WOOD111GAL~00000","MANN. ADURA LUXURY TILE","17,218.98","14,048.77","3,170.21","18.41%","3.08","5,581.65","26"
"WHIT125ROA~00000","MANN. WOOD","15,247.86","12,503.87","2,743.99","18.00%","4.89","3,118.17","5"
"ELPC242CHR~00000","MANN. ADURA LUXURY TILE","13,277.10","10,973.00","2,304.10","17.35%","2.88","4,609.62","20"
"FLOO385CHR~00000","MANN. ADURA LUXURY TILE","10,782.02","8,472.53","2,309.49","21.42%","3.21","3,363.54","21"
"CENT560LYN~00000","PAD FUTURE FOAM","10,560.00","7,515.00","3,045.00","28.84%","2.35","4,500.00","7"
"MANNS30SAL~00000","MANN. ADURA LUXURY TILE","9,676.39","8,008.16","1,668.23","17.24%","4.36","2,221.59","6"
"SQUI425DAN~00000","MANN. ADURA LUXURY TILE","9,591.22","7,711.82","1,879.40","19.60%","2.58","3,724.38","21"
"CENT560LYN~00000","RESPONSIVE INDUSTRIES","7,847.92","5,362.12","2,485.80","31.67%","2.33","3,367.18","6"
"CARP363ROA~00000","PAD CARPENTER COMPANY","7,453.50","6,051.00","1,402.50","18.82%","1.77","4,200.00","18"
"WHIT125ROA~00000","SOMERSET WOOD","7,204.80","5,748.00","1,456.80","20.22%","6.43","1,120.00","2"
"HALLRT2EVI~00000","SOMERSET WOOD","6,969.52","5,391.00","1,578.52","22.65%","5.76","1,210.00","8"
"FLOO180CHA~00000","SOMERSET WOOD","6,969.45","5,498.75","1,470.70","21.10%","5.14","1,355.00","4"
"FLOO880LYN~00000","MANN. ADURA LUXURY TILE","6,886.05","5,506.41","1,379.64","20.04%","2.80","2,456.38","19"
"MILL750SOP~00000","MANN. ADURA LUXURY TILE","6,635.67","5,502.71","1,132.96","17.07%","2.87","2,315.73","4"
"DESI804HAR~00000","LAUZON WOOD","6,587.34","5,531.45","1,055.89","16.03%","5.49","1,199.88","2"
"ELPC242CHR~00000","NORTH STAR FLOORING","5,681.23","4,642.15","1,039.08","18.29%","1.95","2,911.69","3"
"FLOO880LYN~00000","SOMERSET WOOD","5,572.57","4,190.00","1,382.57","24.81%","5.91","943.00","7"
"CARP411ROA~00000","SOMERSET WOOD","5,513.55","4,356.75","1,156.80","20.98%","5.54","996.00","10"
"FASH439ROA~00000","MANN. ADURA LUXURY TILE","4,543.32","3,599.69","943.63","20.77%","2.93","1,548.53","12"
"CENT560LYN~00000","TITEBOND","4,319.46","3,163.32","1,156.14","26.77%","79.99","54.00","2"
"BHFL600CHA~00000","MANN. ADURA LUXURY TILE","4,302.79","3,370.72","932.07","21.66%","3.85","1,118.60","12"
"CARP237MAR~00000","MANN. ADURA LUXURY TILE","4,254.50","3,484.84","769.66","18.09%","2.66","1,597.93","9"
"CENT560LYN~00000","PAD CARPENTER COMPANY","4,222.50","2,940.00","1,282.50","30.37%","2.82","1,500.00","4"
"CENT560LYN~00000","NORTH STAR FLOORING","3,820.88","3,028.48","792.40","20.74%","1.31","2,912.00","4"
"CARP411ROA~00000","NORTH STAR FLOORING","3,748.94","3,287.54","461.40","12.31%","1.30","2,883.80","2"
"CARP785ROA~00000","NORTH STAR FLOORING","3,748.94","3,287.54","461.40","12.31%","1.30","2,883.80","2"
"CARP150ROA~00000","MANN. ADURA LUXURY TILE","3,557.56","2,861.03","696.53","19.58%","3.53","1,007.23","9"
"BBMA340ROA~00000","MANN. ADURA LUXURY TILE","3,367.68","2,632.97","734.71","21.82%","3.87","869.57","9"
"ROAN160SAL~00000","MANN. ADURA LUXURY TILE","3,297.02","2,586.23","710.79","21.56%","3.85","856.37","1"
"WOOD111GAL~00000","MANN. WOOD","2,988.22","2,097.10","891.12","29.82%","5.03","594.08","2"
"BYDE129HAR~00000","PAD FUTURE FOAM","2,972.70","2,236.80","735.90","24.76%","3.67","810.00","6"
"HALLRT2EVI~00000","MANN. ADURA LUXURY TILE","2,967.25","2,330.49","636.76","21.46%","3.22","921.12","12"
"FLOO180CHA~00000","MANN. ADURA LUXURY TILE","2,785.44","2,257.64","527.80","18.95%","2.54","1,095.43","6"
"FALL137ROA~00000","MANN. ADURA LUXURY TILE","2,496.00","1,849.44","646.56","25.90%","3.25","768.00","8"
"SAND122CHA~00000","DIVERSIFIED INDUSTRIES","2,463.23","1,670.90","792.33","32.17%","31.99","77.00","6"
"CARP122CHA~00000","MANN. ADURA LUXURY TILE","2,449.02","1,906.15","542.87","22.17%","3.97","616.88","4"
"CARP363ROA~00000","PAD FUTURE FOAM","2,413.50","1,809.00","604.50","25.05%","1.79","1,350.00","11"
"WHIT317SAL~00000","MANN. ADURA LUXURY TILE","2,401.68","1,954.60","447.08","18.62%","3.46","693.76","7"
"CARP785ROA~00000","MANN. RESIDENTIAL VINYL","2,340.28","1,557.44","782.84","33.45%","2.76","848.00","10"
"SQUI425DAN~00000","PAD CARPENTER COMPANY","2,284.20","1,584.60","699.60","30.63%","2.12","1,080.00","5"
"BHFL600CHA~00000","PAD CARPENTER COMPANY","2,152.20","1,577.10","575.10","26.72%","2.11","1,020.00","7"
"WHIT125ROA~00000","PAD CARPENTER COMPANY","2,133.60","1,456.80","676.80","31.72%","2.29","930.00","12"
"WOOD111GAL~00000","DIVERSIFIED INDUSTRIES","2,019.30","1,519.00","500.30","24.78%","28.85","70.00","8"
"NEWC149DAN~00000","MANN. RESIDENTIAL VINYL","1,974.48","1,378.08","596.40","30.21%","2.55","774.00","2"
"CARP237MAR~00000","NORTH STAR FLOORING","1,874.47","1,643.77","230.70","12.31%","1.30","1,441.90","1"
"HALLRT2EVI~00000","NORTH STAR FLOORING","1,789.61","1,192.82","596.79","33.35%","2.55","701.87","6"
"MILL750SOP~00000","NORTH STAR FLOORING","1,697.64","1,368.64","329.00","19.38%","1.29","1,316.00","1"
"ELPC242CHR~00000","MANN. RESIDENTIAL VINYL","1,691.52","1,158.61","532.91","31.50%","2.74","618.00","6"
"CARP411ROA~00000","SUREPLY AND REVOLUTIONS","1,658.00","1,353.60","304.40","18.36%","16.58","100.00","1"
"SQUI425DAN~00000","SUREPLY AND REVOLUTIONS","1,658.00","1,353.60","304.40","18.36%","16.58","100.00","1"
"CARP363ROA~00000","MANN. ADURA LUXURY TILE","1,648.80","1,353.60","295.20","17.90%","2.29","720.00","3"
"FLOO385CHR~00000","PAD CARPENTER COMPANY","1,476.60","1,216.20","260.40","17.64%","1.54","960.00","3"
"HALLRT2EVI~00000","PAD FUTURE FOAM","1,455.70","1,025.00","430.70","29.59%","1.69","860.00","5"
"SAND122CHA~00000","RESPONSIVE INDUSTRIES","1,400.43","1,261.54","138.89","9.92%","1.21","1,157.38","2"
"CARP411ROA~00000","MANN. RESIDENTIAL VINYL","1,390.98","1,015.17","375.81","27.02%","2.60","534.00","12"
"HALLRT2EVI~00000","SUREPLY AND REVOLUTIONS","1,161.00","896.00","265.00","22.83%","23.22","50.00","1"
"HOUS231SOU~00000","MANN. ADURA LUXURY TILE","1,107.31","884.03","223.28","20.16%","2.62","421.94","3"
"HALLRT2EVI~00000","MANN. COMMERCIAL VINYL & VCT","1,086.33","659.33","427.00","39.31%","32.59","33.33","1"
"CENT560LYN~00000","DIVERSIFIED INDUSTRIES","1,035.66","737.80","297.86","28.76%","30.46","34.00","5"
"WOOD111GAL~00000","NORTH STAR FLOORING","964.98","677.04","287.94","29.84%","2.02","478.00","2"
"HALLRT2EVI~00000","RESPONSIVE INDUSTRIES","927.07","722.94","204.13","22.02%","1.09","850.52","1"
"HALLRT2EVI~00000","MANN. RESIDENTIAL VINYL","916.26","573.97","342.29","37.36%","3.58","256.00","4"
"FLOO180CHA~00000","MANN. RESIDENTIAL VINYL","867.48","634.56","232.92","26.85%","2.56","339.00","2"
"FLOO385CHR~00000","SOMERSET WOOD","843.25","664.75","178.50","21.17%","4.79","176.00","2"
"NEAT427LEW~00000","MANN. RESIDENTIAL VINYL","832.28","599.02","233.26","28.03%","2.26","369.00","5"
"MILL750SOP~00000","PAD FUTURE FOAM","819.00","621.00","198.00","24.18%","1.82","450.00","1"
"FLOO880LYN~00000","MANN. RESIDENTIAL VINYL","802.77","584.75","218.02","27.16%","2.25","356.00","4"
"CARP785ROA~00000","SOMERSET WOOD","783.50","660.50","123.00","15.70%","5.15","152.00","3"
"CARP411ROA~00000","LAUZON WOOD","780.83","546.57","234.26","30.00%","9.30","84.00","4"
"WHIT125ROA~00000","NORTH STAR FLOORING","778.40","582.40","196.00","25.18%","1.39","560.00","1"
"FASH439ROA~00000","SOMERSET WOOD","758.50","592.50","166.00","21.89%","5.06","150.00","2"
"CARD525WYL~00000","MANN. ADURA LUXURY TILE","708.57","565.28","143.29","20.22%","3.61","196.28","1"
"WHIT317SAL~00000","DIVERSIFIED INDUSTRIES","703.78","477.40","226.38","32.17%","31.99","22.00","3"
"WHIT125ROA~00000","MANN. RESIDENTIAL VINYL","663.76","378.37","285.39","43.00%","66.38","10.00","3"
"DESI804HAR~00000","TITEBOND","659.04","510.54","148.50","22.53%","109.84","6.00","1"
"CARP363ROA~00000","SUREPLY AND REVOLUTIONS","591.50","445.00","146.50","24.77%","11.83","50.00","1"
"CARPRT4GRE~00000","LAUZON WOOD","586.80","462.00","124.80","21.27%","4.89","120.00","1"
"FARM167FAR~00000","PAD FUTURE FOAM","585.00","369.00","216.00","36.92%","1.95","300.00","2"
"HOUS231SOU~00000","PAD FUTURE FOAM","585.00","414.00","171.00","29.23%","1.95","300.00","3"
"CENT560LYN~00000","BURKE-MERCER","580.40","428.80","151.60","26.12%","2.23","260.00","3"
"FLOO385CHR~00000","NORTH STAR FLOORING","574.31","394.09","180.22","31.38%","2.39","240.30","2"
"CARP150ROA~00000","MANN. RESIDENTIAL VINYL","563.96","370.53","193.43","34.30%","2.42","233.04","1"
"CARP411ROA~00000","PAD FUTURE FOAM","558.00","357.00","201.00","36.02%","1.86","300.00","2"
"SQUI425DAN~00000","MANN. RESIDENTIAL VINYL","554.43","316.05","238.38","43.00%","55.44","10.00","4"
"CARP237MAR~00000","MANN. RESIDENTIAL VINYL","523.46","372.80","150.66","28.78%","1.69","310.00","3"
"CAVA385EAR~00000","PAD CARPENTER COMPANY","522.00","432.00","90.00","17.24%","1.74","300.00","2"
"FAYE155OAK~00000","TITEBOND","516.95","410.06","106.89","20.68%","73.85","7.00","1"
"FASH439ROA~00000","MANN. RESIDENTIAL VINYL","516.47","363.89","152.58","29.54%","2.26","229.00","4"
"BHFL600CHA~00000","RESPONSIVE INDUSTRIES","481.74","295.74","186.00","38.61%","2.59","186.00","2"
"MILL750SOP~00000","RESPONSIVE INDUSTRIES","421.52","258.77","162.75","38.61%","2.59","162.75","1"
"BYDE129HAR~00000","MANN. ADURA LUXURY TILE","387.84","314.31","73.53","18.96%","2.69","144.18","1"
"FAYE155OAK~00000","PAD FUTURE FOAM","365.40","281.40","84.00","22.99%","1.74","210.00","1"
"FLOO385CHR~00000","MANN. RESIDENTIAL VINYL","353.97","237.69","116.28","32.85%","2.07","171.00","2"
"CENT560LYN~00000","MANN. RESIDENTIAL VINYL","353.27","245.94","107.33","30.38%","3.21","110.00","3"
"BHFL600CHA~00000","PAD FUTURE FOAM","326.40","253.80","72.60","22.24%","5.44","60.00","1"
"HALLRT2EVI~00000","DIVERSIFIED INDUSTRIES","319.90","217.00","102.90","32.17%","31.99","10.00","1"
"WOOD111GAL~00000","SOMERSET WOOD","259.50","192.50","67.00","25.82%","5.19","50.00","1"
"CARP363ROA~00000","MANN. COMMERCIAL VINYL & VCT","255.39","153.24","102.15","40.00%","85.13","3.00","2"
"SPEN130LEX~00000","MANN. RESIDENTIAL VINYL","222.55","126.86","95.69","43.00%","44.51","5.00","2"
"FAYE155OAK~00000","NORTH STAR FLOORING","214.92","154.44","60.48","28.14%","1.99","108.00","2"
"FLOO385CHR~00000","DIVERSIFIED INDUSTRIES","195.93","151.90","44.03","22.47%","27.99","7.00","1"
"SQUI425DAN~00000","DIVERSIFIED INDUSTRIES","167.94","130.20","37.74","22.47%","27.99","6.00","1"
"FLOO180CHA~00000","MANN. LAMINATE FLOORING","152.13","71.27","80.86","53.15%","3.50","43.44","2"
"CENT560LYN~00000","MANNINGTON ON MAIN","149.40","119.40","30.00","20.08%","2.49","60.00","1"
"FARM167FAR~00000","RESPONSIVE INDUSTRIES","120.44","73.94","46.50","38.61%","2.59","46.50","1"
"WHIT317SAL~00000","LAUZON WOOD","97.80","79.00","18.80","19.22%","4.89","20.00","1"
"FLOO385CHR~00000","MANN. COMMERCIAL VINYL & VCT","85.13","51.08","34.05","40.00%","85.13","1.00","1"
"RALE193BEC~00000","MANN. ADURA LUXURY TILE","82.44","67.68","14.76","17.90%","2.29","36.00","1"
"FASH439ROA~00000","DIVERSIFIED INDUSTRIES","63.98","43.40","20.58","32.17%","31.99","2.00","1"
"MILL750SOP~00000","SOMERSET WOOD","47.69","31.00","16.69","35.00%","47.69","1.00","1"
"ELPC242CHR~00000","SOMERSET WOOD","46.60","27.96","18.64","40.00%","11.65","4.00","1"
"CARP363ROA~00000","MANN. RESIDENTIAL VINYL","44.51","25.37","19.14","43.00%","44.51","1.00","1"
"FARM167FAR~00000","MANN. RESIDENTIAL VINYL","44.51","25.37","19.14","43.00%","44.51","1.00","1"
"WOOD111GAL~00000","MANN. RESIDENTIAL VINYL","44.51","25.37","19.14","43.00%","44.51","1.00","1"
"CARP411ROA~00000","RESPONSIVE INDUSTRIES","43.98","33.34","10.64","24.19%","21.99","2.00","1"
"BYDE129HAR~00000","BJELIN","0.00","30.14","-30.14","0.00%","0.00","19.51","1"
"CARD525WYL~00000","BJELIN","0.00","146.48","-146.48","0.00%","0.00","96.70","5"
"CARD525WYL~00000","DIVERSIFIED INDUSTRIES","0.00","10.85","-10.85","0.00%","0.00","1.00","1"
"SQUI425DAN~00000","TITEBOND","0.00","58.58","-58.58","0.00%","0.00","1.00","1"
