"Customer - Parent  Account","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"S.J. NEATHAWK LBR CO INC","42,513.30","34,849.62","7,663.68","18.03%","3.47","12,241.58","31"
"FAYETTE AWNING & GLASS","25,974.87","21,067.94","4,906.93","18.89%","2.66","9,780.51","32"
"SPENCER HOME CENTER INC","21,794.61","17,840.88","3,953.73","18.14%","3.04","7,172.68","25"
"BLUE RIDGE FLOORS INC","17,592.64","13,008.55","4,584.09","26.06%","3.60","4,892.84","39"
"FLOORED LLC","14,311.21","11,188.24","3,122.97","21.82%","2.91","4,918.84","32"
"THE FLOOR SHOW INC","13,261.39","10,281.16","2,980.23","22.47%","3.53","3,755.38","30"
"FLOOR FASHIONS","10,774.50","8,462.22","2,312.28","21.46%","3.80","2,832.87","14"
"MILLS FLOOR COVERING LLC","9,621.52","7,782.12","1,839.40","19.12%","2.27","4,245.48","8"
"B & H FLOORS LLC","7,263.13","5,497.36","1,765.77","24.31%","3.05","2,384.60","22"
"FASHION FLRS OF ROANOKE","5,882.27","4,599.48","1,282.79","21.81%","3.05","1,929.53","19"
"BY DESIGN INTERIORS LLC","3,360.54","2,581.25","779.29","23.19%","3.45","973.69","8"
"CARPETS BY WORLEY","586.80","462.00","124.80","21.27%","4.89","120.00","1"
"CAVALIER CARPETS INC","522.00","432.00","90.00","17.24%","1.74","300.00","2"
